PartyCode,DateTime,Cluster,record_count
41521,200209,6,68
41521,200209,7,79
41521,200509,0,39
41521,200509,1,40
41521,200509,2,22
41521,200509,3,15
41521,200509,4,20
41521,200509,5,35
41521,200509,6,20
41521,200509,7,49
41521,200909,0,19
41521,200909,1,154
41521,200909,2,54
41521,200909,3,81
41521,200909,4,91
41521,200909,5,12
41521,200909,6,125
41521,200909,7,57
41521,201309,0,51
41521,201309,1,269
41521,201309,2,54
41521,201309,3,138
41521,201309,4,84
41521,201309,5,24
41521,201309,6,143
41521,201309,7,70
41521,201709,0,62
41521,201709,1,116
41521,201709,2,36
41521,201709,3,44
41521,201709,4,40
41521,201709,5,16
41521,201709,6,79
41521,201709,7,37
41521,202109,0,31
41521,202109,1,222
41521,202109,2,89
41521,202109,3,120
41521,202109,4,154
41521,202109,5,31
41521,202109,6,119
41521,202109,7,95
41912,202109,0,15
41912,202109,1,69
41912,202109,2,59
41912,202109,3,49
41912,202109,4,84
41912,202109,5,45
41912,202109,6,66
41912,202109,7,54
41952,201309,0,23
41952,201309,1,26
41952,201309,2,210
41952,201309,3,56
41952,201309,4,105
41952,201309,5,33
41952,201309,6,71
41952,201309,7,59
41953,201309,2,9
41953,201309,3,5
41953,201309,4,3
41953,201309,6,3
41953,201309,7,5
41953,201709,0,22
41953,201709,1,6
41953,201709,2,126
41953,201709,3,18
41953,201709,4,23
41953,201709,5,55
41953,201709,6,14
41953,201709,7,39
41953,202109,0,23
41953,202109,1,18
41953,202109,2,175
41953,202109,3,33
41953,202109,4,44
41953,202109,5,67
41953,202109,6,40
41953,202109,7,67
51110,201505,0,138
51110,201505,1,19
51110,201505,2,82
51110,201505,3,57
51110,201505,4,21
51110,201505,5,102
51110,201505,6,32
51110,201505,7,161
51110,201706,0,6
51110,201706,1,5
51110,201706,2,5
51110,201706,3,13
51110,201706,4,1
51110,201706,6,10
51110,201706,7,7
51110,201912,0,67
51110,201912,1,34
51110,201912,2,45
51110,201912,3,31
51110,201912,4,22
51110,201912,5,19
51110,201912,6,20
51110,201912,7,88
51210,201505,0,4
51210,201505,1,9
51210,201505,2,11
51210,201505,3,10
51210,201505,4,26
51210,201505,5,8
51210,201505,6,14
51210,201505,7,12
51210,201706,0,3
51210,201706,2,9
51210,201706,3,2
51210,201706,4,6
51210,201706,5,12
51210,201706,6,5
51210,201706,7,5
51210,201912,0,1
51210,201912,1,1
51210,201912,2,14
51210,201912,3,1
51210,201912,4,9
51210,201912,5,4
51210,201912,6,6
51320,196410,0,14
51320,196410,1,12
51320,196410,2,21
51320,196410,3,6
51320,196410,4,17
51320,196410,5,38
51320,196410,6,3
51320,196410,7,28
51320,196603,0,27
51320,196603,1,27
51320,196603,2,22
51320,196603,3,13
51320,196603,4,34
51320,196603,5,36
51320,196603,6,7
51320,196603,7,33
51320,197006,0,43
51320,197006,1,31
51320,197006,2,16
51320,197006,3,7
51320,197006,4,27
51320,197006,5,25
51320,197006,6,14
51320,197006,7,24
51320,197402,0,8
51320,197402,1,5
51320,197402,2,10
51320,197402,3,4
51320,197402,4,5
51320,197402,5,12
51320,197402,6,2
51320,197402,7,16
51320,197410,0,23
51320,197410,1,6
51320,197410,2,20
51320,197410,3,8
51320,197410,4,10
51320,197410,5,13
51320,197410,6,15
51320,197410,7,27
51320,197905,0,25
51320,197905,1,19
51320,197905,2,21
51320,197905,3,10
51320,197905,4,21
51320,197905,5,13
51320,197905,6,14
51320,197905,7,38
51320,198306,0,43
51320,198306,1,44
51320,198306,2,70
51320,198306,3,39
51320,198306,4,48
51320,198306,5,49
51320,198306,6,19
51320,198306,7,66
51320,198706,0,17
51320,198706,1,17
51320,198706,2,25
51320,198706,3,18
51320,198706,4,14
51320,198706,5,17
51320,198706,6,15
51320,198706,7,28
51320,199204,0,37
51320,199204,1,23
51320,199204,2,20
51320,199204,3,40
51320,199204,4,22
51320,199204,5,12
51320,199204,6,14
51320,199204,7,53
51320,199705,0,31
51320,199705,1,30
51320,199705,2,58
51320,199705,3,34
51320,199705,4,25
51320,199705,5,48
51320,199705,6,30
51320,199705,7,47
51320,200106,0,182
51320,200106,1,85
51320,200106,2,25
51320,200106,3,73
51320,200106,4,40
51320,200106,5,32
51320,200106,6,36
51320,200106,7,68
51320,200505,0,111
51320,200505,1,55
51320,200505,2,29
51320,200505,3,65
51320,200505,4,21
51320,200505,5,17
51320,200505,6,29
51320,200505,7,42
51320,201505,0,57
51320,201505,1,24
51320,201505,2,33
51320,201505,3,45
51320,201505,4,19
51320,201505,5,33
51320,201505,6,28
51320,201505,7,50
51320,201706,0,55
51320,201706,1,29
51320,201706,2,47
51320,201706,3,44
51320,201706,4,28
51320,201706,5,57
51320,201706,6,22
51320,201706,7,75
51320,201912,0,63
51320,201912,1,20
51320,201912,2,42
51320,201912,3,42
51320,201912,4,22
51320,201912,5,76
51320,201912,6,19
51320,201912,7,91
51330,198306,0,24
51330,198306,1,17
51330,198306,2,26
51330,198306,3,11
51330,198306,4,14
51330,198306,5,29
51330,198306,6,11
51330,198306,7,37
51330,198706,0,36
51330,198706,1,6
51330,198706,2,38
51330,198706,3,23
51330,198706,4,19
51330,198706,5,40
51330,198706,6,15
51330,198706,7,50
51340,201505,0,13
51340,201505,1,20
51340,201505,2,13
51340,201505,3,20
51340,201505,4,10
51340,201505,5,15
51340,201505,6,20
51340,201505,7,18
51340,201912,0,10
51340,201912,1,13
51340,201912,2,24
51340,201912,3,14
51340,201912,4,12
51340,201912,5,23
51340,201912,6,11
51340,201912,7,14
51420,196410,0,12
51420,196410,1,3
51420,196410,2,10
51420,196410,3,4
51420,196410,4,9
51420,196410,5,8
51420,196410,6,1
51420,196410,7,29
51420,196603,0,6
51420,196603,1,10
51420,196603,2,18
51420,196603,3,8
51420,196603,4,8
51420,196603,5,23
51420,196603,6,6
51420,196603,7,35
51420,197006,0,7
51420,197006,1,2
51420,197006,2,3
51420,197006,4,8
51420,197006,5,15
51420,197006,6,3
51420,197006,7,22
51420,197402,0,15
51420,197402,1,3
51420,197402,2,21
51420,197402,3,6
51420,197402,4,9
51420,197402,5,28
51420,197402,6,5
51420,197402,7,32
51420,197410,0,13
51420,197410,1,3
51420,197410,2,13
51420,197410,3,1
51420,197410,4,6
51420,197410,5,20
51420,197410,6,3
51420,197410,7,29
51420,197905,0,6
51420,197905,1,10
51420,197905,2,29
